"session","benchmark","10%(us)","20%(us)","50%(us)","75%(us)","90%(us)","95%(us)","99%(us)","99.9%(us)","99.99%(us)","max(us)","operations","duration(ms)","throughput"
23-12-2022_11-01-55,MapStoreTest2-put,6807.551,8839.167,12894.207,16793.599,20119.551,23363.583,31014.911,50823.167,79691.775,93913.087,120544,595056,202.5758920168858
23-12-2022_11-01-55,MapStoreTest2-get,1533.951,2594.815,6483.967,9420.799,10575.871,13238.271,20365.311,30294.015,65667.071,89456.639,479769,595056,806.2585706219246
23-12-2022_11-01-55,LongStringMapTest4-get,323.071,347.647,410.623,495.103,3995.647,7389.183,14237.695,23068.671,39419.903,84148.223,2429368,596056,4075.7378501348867
23-12-2022_11-01-55,LongStringMapTest4-put,609.279,652.287,751.103,2398.207,7774.207,10764.287,18137.087,28606.463,54689.791,81657.855,609364,596056,1022.3267612439099
23-12-2022_11-01-55,LongStringMapTest3-put,606.719,649.727,748.543,2404.351,7766.015,10756.095,18235.391,28655.615,56524.799,97910.783,609779,596056,1023.023004549908
23-12-2022_11-01-55,MapStoreTest1-get,1534.975,2596.863,6483.967,9420.799,10584.063,13221.887,20332.543,30736.383,64716.799,88276.991,480667,595056,807.7676722863058
23-12-2022_11-01-55,MapStoreTest0-get,1533.951,2596.863,6488.063,9420.799,10584.063,13254.655,20332.543,30752.767,64913.407,82640.895,480609,595056,807.6702024683391
23-12-2022_11-01-55,LongStringMapTest3-get,320.511,345.087,407.551,492.031,3985.407,7376.895,14237.695,22986.751,38174.719,83296.255,2435893,596056,4086.6848081388325
23-12-2022_11-01-55,MapStoreTest1-put,6811.647,8839.167,12886.015,16744.447,20086.783,23330.815,31047.679,49938.431,78905.343,100532.223,120150,595056,201.9137694603533
23-12-2022_11-01-55,MapStoreTest0-put,6815.743,8847.359,12894.207,16752.639,20086.783,23429.119,31096.831,48594.943,81133.567,89260.031,119693,595056,201.14577451533972
23-12-2022_11-23-33,MapStoreTest2-put,6008.831,7999.487,11968.511,14991.359,17891.327,19054.591,21102.591,64520.191,122617.855,142082.047,134218,595054,225.55599995966753
23-12-2022_11-23-33,MapStoreTest2-get,1576.959,2592.767,5648.383,8585.215,10485.759,10616.831,11952.127,22790.143,104988.671,140902.399,539339,595054,906.3698420647538
23-12-2022_11-23-33,LongStringMapTest4-get,311.295,334.335,383.999,429.567,476.159,508.415,609.279,950.271,8343.551,136183.807,8507212,595054,14296.537793208683
23-12-2022_11-23-33,LongStringMapTest4-put,543.231,574.975,640.511,697.855,756.223,796.671,941.567,1746.943,35749.887,136445.951,2126928,595054,3574.3445132710644
23-12-2022_11-23-33,LongStringMapTest3-put,546.303,578.047,643.583,700.927,758.783,799.231,945.151,1752.063,38928.383,136314.879,2116774,596055,3551.306506949862
23-12-2022_11-23-33,MapStoreTest1-get,1573.887,2592.767,5652.479,8593.407,10493.951,10616.831,12034.047,23379.967,106758.143,138149.887,537033,595054,902.494563518605
23-12-2022_11-23-33,MapStoreTest0-get,1573.887,2592.767,5648.383,8585.215,10485.759,10616.831,12001.279,23134.207,106299.391,143917.055,538079,595054,904.2523871783065
23-12-2022_11-23-33,LongStringMapTest3-get,314.367,337.407,387.071,432.127,479.231,511.487,612.863,954.879,8372.223,136052.735,8464783,596055,14201.345513417386
23-12-2022_11-23-33,MapStoreTest1-put,6000.639,7999.487,11976.703,14991.359,17891.327,19054.591,21118.975,61341.695,127008.767,149553.151,134717,595054,226.3945793154907
23-12-2022_11-23-33,MapStoreTest0-put,6004.735,7991.295,11968.511,14999.551,17907.711,19038.207,21118.975,64552.959,132841.471,141295.615,134616,595054,226.2248468206247
